################################################################################
# ID   Description                                                             #
# 1    e+Ar(1S0)->e+Ar(1S0),Elastic                                            #
# 2    e+Ar(1S0)->e+Ar(eff),Excitation                                         #
# 3    e+Ar(1S0)->e+e+Ar(+,gnd),Ionization                                     #
#                                                                              #
# *** Extra rate coefficients ***                                              #
#                                                                              #
# ID   Description                                                             #
################################################################################

RedField(Td)          R1_ine(m^3s^-1)       R2_ine(m^3s^-1)       R3_ine(m^3s^-1)       
+5.72236765935022e-02 3.90725828234062e-15  0.00000000000000e+00  0.00000000000000e+00  
+6.57933224657568e-02 4.35158248741310e-15  0.00000000000000e+00  0.00000000000000e+00  
+7.56463327554629e-02 4.84717936768213e-15  0.00000000000000e+00  0.00000000000000e+00  
+8.69749002617783e-02 5.39884379537561e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.00000000000000e-01 6.01188534606787e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.14975699539774e-01 6.69223376826914e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.32194114846603e-01 7.44650825825112e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.51991108295293e-01 8.28205018496493e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.74752840000768e-01 9.20731552716356e-15  0.00000000000000e+00  0.00000000000000e+00  
+2.00923300256505e-01 1.02314660438077e-14  0.00000000000000e+00  0.00000000000000e+00  
+2.31012970008316e-01 1.13652084924863e-14  0.00000000000000e+00  0.00000000000000e+00  
+2.65608778294669e-01 1.26207766275748e-14  0.00000000000000e+00  0.00000000000000e+00  
+3.05385550883342e-01 1.40120966033867e-14  0.00000000000000e+00  0.00000000000000e+00  
+3.51119173421513e-01 1.55547949792346e-14  0.00000000000000e+00  0.00000000000000e+00  
+4.03701725859655e-01 1.72661547951099e-14  0.00000000000000e+00  0.00000000000000e+00  
+4.64158883361278e-01 1.91649748260182e-14  0.00000000000000e+00  0.00000000000000e+00  
+5.33669923120631e-01 2.12714458469084e-14  0.00000000000000e+00  0.00000000000000e+00  
+6.13590727341317e-01 2.36073559196581e-14  0.00000000000000e+00  0.00000000000000e+00  
+7.05480231071864e-01 2.61963961872247e-14  0.00000000000000e+00  0.00000000000000e+00  
+8.11130830789687e-01 2.90651459151904e-14  0.00000000000000e+00  0.00000000000000e+00  
+9.32603346883220e-01 3.22442696351831e-14  0.00000000000000e+00  0.00000000000000e+00  
+1.07226722201032e+00 3.57689827440146e-14  0.00000000000000e+00  0.00000000000000e+00  
+1.23284673944207e+00 3.96799031630425e-14  4.51554314692317e-37  0.00000000000000e+00  
+1.41747416292681e+00 4.40226677277892e-14  3.72699628072947e-33  0.00000000000000e+00  
+1.62975083462064e+00 4.88475407528159e-14  6.70215459172226e-30  0.00000000000000e+00  
+1.87381742286038e+00 5.42091599731882e-14  3.07829614327388e-27  0.00000000000000e+00  
+2.15443469003188e+00 6.01676350104076e-14  4.28677843813862e-25  0.00000000000000e+00  
+2.47707635599171e+00 6.67906944650292e-14  2.17295700958165e-23  0.00000000000000e+00  
+2.84803586843580e+00 7.41483829848394e-14  4.74991225370778e-22  5.53626111524825e-37  
+3.27454916287773e+00 8.22494054083983e-14  5.21748999735824e-21  7.82301995014549e-34  
+3.76493580679247e+00 9.08306627767237e-14  3.28034087496339e-20  2.97573349105211e-31  
+4.32876128108306e+00 9.91581480500863e-14  1.32245013564885e-19  3.96252743101903e-29  
+4.97702356433211e+00 1.06317373060314e-13  3.79025163430632e-19  2.22528224266263e-27  
+5.72236765935022e+00 1.11834706132081e-13  8.47709025585330e-19  6.30577737912662e-26  
+6.57933224657568e+00 1.15844036052590e-13  1.59729807703052e-18  1.04065031220999e-24  
+7.56463327554629e+00 1.18781702627356e-13  2.68196664730189e-18  1.11859991482265e-23  
+8.69749002617784e+00 1.21074018215271e-13  4.16873054554427e-18  8.51279263432892e-23  
+1.00000000000000e+01 1.23050377718990e-13  6.15035997716186e-18  4.98459679085456e-22  
+1.14975699539774e+01 1.24905724730117e-13  8.75015619027276e-18  2.31751264613066e-21  
+1.32194114846603e+01 1.26777414283319e-13  1.21295133490993e-17  8.90294092005689e-21  
+1.51991108295293e+01 1.28747110451784e-13  1.64914373996922e-17  2.94358693050119e-20  
+1.74752840000768e+01 1.30866345233524e-13  2.20851202487574e-17  8.59501265309835e-20  
+2.00923300256505e+01 1.33156105813876e-13  2.91899972012986e-17  2.21522921645871e-19  
+2.31012970008316e+01 1.35631182921964e-13  3.81440616349676e-17  5.23378830340935e-19  
+2.65608778294669e+01 1.38280683530427e-13  4.93075951005504e-17  1.14302705541627e-18  
+3.05385550883342e+01 1.41147017353020e-13  6.31146681358105e-17  2.33507101904985e-18  
