time,Ar,Ar+,e,rate_constant0,rate_constant1,reduced_field
1.773e-07,2.5e+19,13424.36580176,13424.36580176,2.1386114073406e-12,1e-25,30
1.774e-07,2.5e+19,13496.525359448,13496.525359448,2.1386114073406e-12,1e-25,30
1.775e-07,2.5e+19,13569.072794063,13569.072794063,2.1386114073406e-12,1e-25,30
1.776e-07,2.5e+19,13642.010190548,13642.010190548,2.1386114073406e-12,1e-25,30
1.777e-07,2.5e+19,13715.339645052,13715.339645052,2.1386114073406e-12,1e-25,30
1.778e-07,2.5e+19,13789.063264992,13789.063264992,2.1386114073406e-12,1e-25,30
1.779e-07,2.5e+19,13863.183169112,13863.183169112,2.1386114073406e-12,1e-25,30
1.78e-07,2.5e+19,13937.701487547,13937.701487547,2.1386114073406e-12,1e-25,30
1.781e-07,2.5e+19,14012.62036188,14012.62036188,2.1386114073406e-12,1e-25,30
1.782e-07,2.5e+19,14087.941945205,14087.941945205,2.1386114073406e-12,1e-25,30
1.783e-07,2.5e+19,14163.668402192,14163.668402192,2.1386114073406e-12,1e-25,30
1.784e-07,2.5e+19,14239.801909144,14239.801909144,2.1386114073406e-12,1e-25,30
1.785e-07,2.5e+19,14316.344654064,14316.344654064,2.1386114073406e-12,1e-25,30
1.786e-07,2.5e+19,14393.298836716,14393.298836716,2.1386114073406e-12,1e-25,30
1.787e-07,2.5e+19,14470.666668688,14470.666668688,2.1386114073406e-12,1e-25,30
1.788e-07,2.5e+19,14548.450373454,14548.450373454,2.1386114073406e-12,1e-25,30
1.789e-07,2.5e+19,14626.652186443,14626.652186443,2.1386114073406e-12,1e-25,30
1.79e-07,2.5e+19,14705.274355099,14705.274355099,2.1386114073406e-12,1e-25,30
1.791e-07,2.5e+19,14784.319138945,14784.319138945,2.1386114073406e-12,1e-25,30
1.792e-07,2.5e+19,14863.788809652,14863.788809652,2.1386114073406e-12,1e-25,30
1.793e-07,2.5e+19,14943.685651099,14943.685651099,2.1386114073406e-12,1e-25,30
1.794e-07,2.5e+19,15024.011959443,15024.011959443,2.1386114073406e-12,1e-25,30
1.795e-07,2.5e+19,15104.770043185,15104.770043185,2.1386114073406e-12,1e-25,30
1.796e-07,2.5e+19,15185.962223233,15185.962223233,2.1386114073406e-12,1e-25,30
1.797e-07,2.5e+19,15267.59083297,15267.59083297,2.1386114073406e-12,1e-25,30
1.798e-07,2.5e+19,15349.658218322,15349.658218322,2.1386114073406e-12,1e-25,30
1.799e-07,2.5e+19,15432.166737826,15432.166737826,2.1386114073406e-12,1e-25,30
1.8e-07,2.5e+19,15515.118762696,15515.118762696,2.1386114073406e-12,1e-25,30
